"Warna","TDS","Kekeruhan","Suhu","E. Coli","Total Koliform","Fluorida","Total Kromium","Nitrit","Nitrat","Sianida","Aluminium","Besi","Kesadahan","Khlorida","Mangan","pH","Seng","Sulfat","Tembaga","Amonia","Zat Organik","Karbondioksida Bebas","Alkalinitas Total","Label"
"2","230.0","0.43","24","0","0","0.02","0.02","0.009","0.13","0.001","0.014","0.02","57.4","5.1","0.008","6.82","0.00","7","0.01","0.00","5.3","6.2","26.5","Layak Diminum"
"2","233.0","0.42","24","0","0","0.04","0.01","0.013","0.05","0.001","0.021","0.02","59.4","5.3","0.008","6.91","0.01","5","0.03","0.01","5.0","6.2","26","Layak Diminum"
"2","224.0","0.40","23","0","0","0.04","0.01","0.016","0.07","0.001","0.013","0.01","41.6","5.5","0.004","6.79","0.01","8","0.00","0.01","5.3","6.6","25.5","Layak Diminum"
"1","175.0","0.66","23","0","0","0.03","0.01","0.007","0.02","0.002","0.017","0.03","39.6","9.0","0.011","6.90","0.02","12","0.02","0.02","5.9","7","32","Layak Diminum"
"1","126.0","0.48","20","0","0","0.03","0.01","0.011","0.04","0.001","0.009","0.05","89.1","21.0","0.009","6.92","0.02","5","0.04","0.03","8.3","14.1","57","Layak Diminum"
"1","120.0","0.41","20","0","0","0.07","0.01","0.005","0.08","0.003","0.021","0.06","77.2","16.0","0.013","8.02","0.01","7","0.02","0.01","2.7","76.6","90","Layak Diminum"
"1","116.0","0.43","20","0","0","0.07","0.03","0.007","0.06","0.001","0.036","0.08","77.2","16.0","0.013","7.96","0.01","4","0.02","0.00","2.1","77.4","94","Layak Diminum"
"1","122.0","0.40","19","0","0","0.06","0.02","0.005","0.07","0.001","0.028","0.05","75.2","18.4","0.016","7.90","0.02","13","0.01","0.00","2.4","75.7","94","Layak Diminum"
"1","86.6","0.56","22","0","0","0.05","0.01","0.009","0.12","0.000","0.031","0.07","93.1","27.2","0.014","7.96","0.01","13","0.03","0.02","2.4","98.6","230","Layak Diminum"
"2","90.2","0.63","22","0","0","0.05","0.01","0.130","0.12","0.001","0.021","0.05","81.2","27.1","0.014","7.93","0.03","12","0.00","0.01","1.8","100.3","226","Tidak Layak Diminum"
"1","90.3","0.61","22","0","0","0.04","0.01","0.016","0.16","0.001","0.038","0.08","81.2","26.8","0.018","7.98","0.02","16","0.01","0.02","1.8","105.6","208","Tidak Layak Diminum"
"1","84.6","0.64","22","0","0","0.04","0.01","0.011","0.08","0.001","0.014","0.03","87.1","26.9","0.009","6.75","0.01","21","0.01","0.01","2.7","107.4","219","Tidak Layak Diminum"
"2","87.4","0.65","22","0","0","0.06","0.01","0.020","0.08","0.000","0.027","0.02","85.1","26.5","0.009","6.78","0.02","25","0.02","0.01","2.4","110.9","220","Tidak Layak Diminum"
"1","128.0","0.50","21","0","0","0.03","0.01","0.018","0.05","0.000","0.025","0.05","81.2","27.0","0.007","6.81","0.02","20","0.02","0.00","2.7","110.9","216","Tidak Layak Diminum"
"1","133.0","0.53","21","0","0","0.02","0.01","0.005","0.01","0.001","0.038","0.08","17.8","4.4","0.013","6.71","0.03","21","0.00","0.01","3.6","4.4","11.5","Layak Diminum"
"1","136.0","0.53","21","0","0","0.02","0.03","0.003","0.01","0.000","0.021","0.01","17.8","4.1","0.013","6.85","0.02","22","0.01","0.00","3.6","2.2","12.5","Layak Diminum"
"1","116.0","0.67","23","0","0","0.02","0.02","0.001","0.06","0.003","0.028","0.03","19.8","3.2","0.007","6.81","0.02","18","0.00","0.00","4.2","2.6","11","Layak Diminum"
"1","220.0","0.82","22","0","0","0.03","0.01","0.003","0.08","0.005","0.034","0.07","25.7","3.5","0.006","6.79","0.04","14","0.01","0.02","3.9","2.6","11.5","Layak Diminum"
"2","226.0","0.86","22","0","0","0.04","0.01","0.003","0.08","0.004","0.037","0.05","27.7","3.6","0.006","6.94","0.05","21","0.01","0.01","3.9","2.2","11","Layak Diminum"
"1","237.0","0.79","23","0","0","0.02","0.01","0.002","0.13","0.004","0.031","0.06","29.7","3.9","0.011","7.31","0.05","23","0.02","0.02","3.6","3.1","10.5","Layak Diminum"
"1","131.6","0.13","20","0","0","0.04","0.01","0.007","0.15","0.003","0.046","0.06","27.7","3.6","0.009","6.98","0.06","28","0.01","0.01","3.6","2.6","10","Layak Diminum"
"1","78.6","0.71","24","0","0","0.06","0.01","0.008","0.16","0.002","0.038","0.03","27.7","4.6","0.007","7.28","0.05","16","0.01","0.01","3.0","4.4","10.5","Layak Diminum"
"1","77.5","0.65","24","0","0","0.07","0.01","0.007","0.16","0.002","0.042","0.04","25.7","4.5","0.005","7.13","0.04","17","0.01","0.00","3.3","4.8","12","Layak Diminum"
"1","80.6","0.71","23","0","0","0.07","0.01","0.013","0.06","0.002","0.046","0.07","55.4","7.2","0.016","7.94","0.02","9","0.03","0.02","5.3","8.1","26","Layak Diminum"
"1","81.5","0.63","23","0","0","0.07","0.02","0.009","0.08","0.001","0.009","0.05","51.5","7.8","0.018","7.88","0.02","5","0.02","0.02","5.3","8.1","22","Layak Diminum"
"1","78.1","0.85","23","0","0","0.09","0.02","0.005","0.07","0.003","0.018","0.06","51.5","7.0","0.014","7.90","0.04","4","0.01","0.01","5.9","8.2","24","Layak Diminum"
"2","77.9","0.81","23","0","0","0.07","0.02","0.007","0.07","0.000","0.013","0.02","49.5","7.6","0.013","7.78","0.03","5","0.01","0.01","6.5","8.4","20","Layak Diminum"
"1","75.6","0.73","23","0","0","0.03","0.02","0.005","0.08","0.000","0.028","0.02","61.4","7.5","0.009","7.84","0.03","5","0.01","0.03","5.9","8.4","20","Layak Diminum"
"1","72.8","0.68","23","0","0","0.02","0.01","0.008","0.14","0.000","0.021","0.02","59.4","7.4","0.005","7.76","0.04","7","0.02","0.02","6.5","8.2","26","Layak Diminum"
"2","76.4","0.77","23","0","0","0.02","0.01","0.007","0.14","0.001","0.033","0.08","56.7","7.3","0.008","7.82","0.02","11","0.01","0.02","5.6","8.1","21","Layak Diminum"
"1","80.4","0.78","23","0","0","0.05","0.01","0.004","0.13","0.002","0.038","0.09","57.4","7.3","0.004","7.78","0.04","13","0.01","0.01","5.0","6.2","20.5","Layak Diminum"
"1","85.3","0.68","24","0","0","0.05","0.02","0.004","0.16","0.001","0.031","0.05","53.5","7.5","0.004","7.90","0.04","13","0.02","0.01","5.6","7.5","21","Layak Diminum"
"2","80.6","0.76","23","0","0","0.03","0.02","0.006","0.15","0.000","0.042","0.07","51.5","8.1","0.004","7.76","0.02","19","0.01","0.02","5.0","6.2","22.5","Layak Diminum"
"2","82.4","0.73","23","0","0","0.04","0.02","0.007","0.13","0.000","0.024","0.05","57.4","7.7","0.006","7.80","0.04","21","0.03","0.02","5.3","6.6","24","Layak Diminum"
"1","83.1","0.78","23","0","0","0.05","0.02","0.007","0.11","0.001","0.018","0.04","57.4","7.8","0.014","7.83","0.03","26","0.01","0.03","5.3","6.2","21","Layak Diminum"
"1","85.3","0.71","24","0","0","0.03","0.01","0.003","0.11","0.002","0.019","0.04","53.5","7.3","0.013","7.90","0.02","18","0.01","0.02","4.8","6.6","20.5","Layak Diminum"
"1","80.6","0.66","24","0","0","0.07","0.01","0.005","0.08","0.001","0.007","0.06","53.5","7.2","0.012","7.94","0.01","18","0.01","0.01","4.5","7","20.5","Layak Diminum"
"1","76.8","0.58","22","0","0","0.06","0.01","0.005","0.07","0.002","0.005","0.06","59.4","7.5","0.012","7.90","0.05","8","0.03","0.02","5.3","7.7","21","Layak Diminum"
"1","80.4","0.56","23","0","0","0.05","0.02","0.007","0.05","0.002","0.026","0.08","43.6","6.1","0.016","8.49","0.03","14","0.02","0.02","3.0","28.2","33","Layak Diminum"
"1","78.6","0.66","23","0","0","0.05","0.02","0.011","0.05","0.003","0.015","0.05","43.6","6.2","0.015","8.40","0.04","14","0.01","0.02","3.9","31.7","33","Layak Diminum"
"1","75.8","0.70","23","0","0","0.08","0.01","0.008","0.03","0.001","0.007","0.07","47.5","6.9","0.014","8.43","0.03","21","0.01","0.03","3.6","31.7","36","Layak Diminum"
"2","84.7","0.85","24","0","0","0.01","0.01","0.001","0.12","0.001","0.019","0.07","49.5","6.8","0.009","8.45","0.02","21","0.02","0.02","2.7","29.5","38","Layak Diminum"
"2","86.8","0.65","23","0","0","0.01","0.02","0.006","0.16","0.001","0.018","0.01","51.5","6.7","0.009","8.42","0.02","21","0.01","0.02","2.4","29.9","39","Layak Diminum"
"3","84.3","0.71","23","0","0","0.01","0.02","0.007","0.15","0.003","0.033","0.02","55.4","6.8","0.013","8.47","0.04","21","0.01","0.01","3.3","29.9","34","Layak Diminum"
"2","80.4","0.66","23","0","0","0.03","0.02","0.004","0.15","0.001","0.038","0.02","53.5","6.6","0.013","8.50","0.03","19","0.02","0.01","4.2","33","33","Layak Diminum"
"2","88.4","0.68","23","0","0","0.03","0.02","0.009","0.08","0.002","0.048","0.02","53.5","6.6","0.011","7.55","0.02","17","0.03","0.01","3.6","32.6","35","Layak Diminum"
"2","87.6","0.89","24","0","0","0.07","0.01","0.008","0.09","0.004","0.041","0.03","49.5","6.4","0.016","8.38","0.02","20","0.01","0.02","3.0","33","31","Layak Diminum"
"2","82.6","0.78","24","0","0","0.05","0.01","0.007","0.09","0.001","0.044","0.03","45.5","6.4","0.015","8.42","0.03","23","0.01","0.01","2.7","29.9","30","Layak Diminum"
